name,fantasy_score,name
"Ronnie Bell",0.0,Lions
"Rondale Moore",0.0,FA
"Nikko Remigio",0.0,Chiefs
"Kevin Austin Jr.",0.0,Saints
"Antoine Green",0.0,Lions
"Dax Milne",0.0,Panthers
"John Hightower",0.0,FA
"Deven Thompkins",0.0,Panthers
"Jaylen Johnson",0.0,Chargers
"Jalen Nailor",0.0,Vikings
"Xavier Smith",0.0,Rams
"Dareke Young",0.0,Seahawks
"Malik Taylor",0.0,Jets
"Deonte Harty",0.0,Ravens
"Trinity Benson",0.0,FA
"Gunner Olszewski",0.0,Giants
"Ramel Keyton",0.0,Raiders
"Trey Palmer",0.0,Buccaneers
"Joseph Ngata",0.0,FA
"Cornelius Johnson",0.0,Packers
"Jonathan Mingo",0.0,Cowboys
"Joshua Cephus",0.0,Jaguars
"Luke McCaffrey",0.0,Commanders
"Jalen Moreno-Cropper",0.0,Cowboys
"Kaylon Geiger",0.0,FA
"Xavier Gipson",0.0,Jets
"Jha'Quan Jackson",0.0,Titans
"Bub Means",0.0,Saints
"Ricky Pearsall",0.0,49ers
"Rashee Rice",0.0,Chiefs
"Ainias Smith",0.0,Eagles
"Jamari Thrash",0.0,Browns
"Tre Tucker",0.0,Raiders
"Casey Washington",0.0,Falcons
"Xavier Weaver",0.0,Cardinals
"Dontayvion Wicks",0.0,Packers
"Rakim Jarrett",0.0,Buccaneers
"Kayshon Boutte",0.0,Patriots
"Jermaine Burton",0.0,Bengals
"Anthony Gould",0.0,Colts
"Skyy Moore",0.0,Chiefs
"Ja'Lynn Polk",0.0,Patriots
"Jared Wayne",0.0,Texans
"Troy Franklin",0.0,Broncos
"Roman Wilson",0.0,Steelers
"Parker Washington",0.0,Jaguars
"Tyler Scott",0.0,Bears
"John Metchie III",0.0,Texans
"Treylon Burks",0.0,Titans
"Tahj Washington",0.0,Dolphins
"Isaiah Williams",0.0,Bengals
"Jordan Whittington",0.0,Rams
"Devaughn Vele",0.0,Broncos
"Wan'Dale Robinson",0.0,Giants
"Malik Washington",0.0,Dolphins
"Myron Mitchell",0.0,FA
"David Bell",0.0,Browns
"Dennis Houston",0.0,Buccaneers
"Mason Tipton",0.0,Saints
"Jacob Cowing",0.0,49ers
"Mike Strachan",0.0,Commanders
"Tyreik McAllister",0.0,Raiders
"Adonai Mitchell",0.0,Colts
"Malachi Corley",0.0,Jets
"Johnny Wilson",0.0,Eagles
"Xavier Hutchinson",0.0,Texans
"Marvin Mims Jr.",0.0,Broncos
"Brenden Rice",0.0,Chargers
"Malik Heath",0.0,Packers
"Danny Gray",0.0,Eagles
"Jason Brownlee",0.0,Chiefs
"Mitchell Tinsley",0.0,Bengals
"Javon Baker",0.0,Patriots
"Jalin Hyatt",0.0,Giants
"Jalen Brooks",0.0,Cowboys
"Jalen Coker",0.0,Panthers
"Devontez Walker",0.0,Ravens
"Jermaine Jackson",0.0,FA
"Tejhaun Palmer",0.0,Cardinals
"Grant DuBose",0.0,Dolphins
"Jared Bernhardt",0.0,FA
"Kaden Davis",0.0,Browns
"Ryan Flournoy",0.0,Cowboys
"Kameron Johnson",0.0,Buccaneers
